,id,Cluster id,Date
0,84041059,1,02.03.20
1,84017031,1,02.03.20
2,84044007,1,02.03.20
3,84041067,1,02.03.20
4,84006061,1,02.03.20
5,84006097,1,02.03.20
6,84033009,1,02.03.20
7,84006067,1,02.03.20
8,84012057,1,02.03.20
9,84036061,1,02.03.20
10,84053033,2,02.03.20
11,84053061,2,02.03.20
12,84006085,2,02.03.20
13,84012113,1,09.03.20
14,84053025,1,09.03.20
15,84006061,1,09.03.20
16,84012071,1,09.03.20
17,84013057,2,09.03.20
18,84032003,2,09.03.20
19,84036103,2,09.03.20
20,84013067,2,09.03.20
21,84036111,2,09.03.20
22,84053011,2,09.03.20
23,84012057,2,09.03.20
24,84032031,2,09.03.20
25,84053031,2,09.03.20
26,84053037,2,09.03.20
27,84012081,2,09.03.20
28,84012091,2,09.03.20
29,84053053,2,09.03.20
30,84037183,2,09.03.20
31,84013121,2,09.03.20
32,84008005,2,09.03.20
33,84053061,2,09.03.20
34,84031055,2,09.03.20
35,84050003,2,09.03.20
36,84008031,2,09.03.20
37,84012127,2,09.03.20
38,84008035,2,09.03.20
39,84008037,2,09.03.20
40,84008041,2,09.03.20
41,84006001,2,09.03.20
42,84049011,2,09.03.20
43,84051059,2,09.03.20
44,84008059,2,09.03.20
45,84006013,2,09.03.20
46,84006019,2,09.03.20
47,84008069,2,09.03.20
48,84027019,2,09.03.20
49,84006037,2,09.03.20
50,84006039,2,09.03.20
51,84006059,2,09.03.20
52,84025003,2,09.03.20
53,84004013,2,09.03.20
54,84006065,2,09.03.20
55,84013233,2,09.03.20
56,84004021,2,09.03.20
57,84006073,2,09.03.20
58,84025017,2,09.03.20
59,84006075,2,09.03.20
60,84025021,2,09.03.20
61,84047037,2,09.03.20
62,84006081,2,09.03.20
63,84025025,2,09.03.20
64,84006085,2,09.03.20
65,84006089,2,09.03.20
66,84006097,2,09.03.20
67,84048085,2,09.03.20
68,84024025,2,09.03.20
69,84045019,2,09.03.20
70,84024031,2,09.03.20
71,84006113,2,09.03.20
72,84044007,2,09.03.20
73,84027123,2,09.03.20
74,84045055,2,09.03.20
75,84029189,2,09.03.20
76,84045083,2,09.03.20
77,84048157,2,09.03.20
78,84047157,2,09.03.20
79,84041019,2,09.03.20
80,84042045,2,09.03.20
81,84041029,2,09.03.20
82,84048201,2,09.03.20
83,84021067,2,09.03.20
84,84041035,2,09.03.20
85,84047187,2,09.03.20
86,84041047,2,09.03.20
87,84021097,2,09.03.20
88,84041067,2,09.03.20
89,84042091,2,09.03.20
90,84021111,2,09.03.20
91,84020091,2,09.03.20
92,84017031,2,09.03.20
93,84018063,2,09.03.20
94,84042127,2,09.03.20
95,84015003,2,09.03.20
96,84019103,2,09.03.20
97,84037037,2,09.03.20
98,84018097,2,09.03.20
99,84033015,2,09.03.20
100,84040143,2,09.03.20
101,84034003,2,09.03.20
102,84036059,2,09.03.20
103,84036061,2,09.03.20
104,84034017,2,09.03.20
105,84012011,2,09.03.20
106,84012015,2,09.03.20
107,84033009,2,09.03.20
108,84036087,2,09.03.20
109,84036091,2,09.03.20
110,84053033,3,09.03.20
111,84036119,3,09.03.20
112,84012033,1,16.03.20
113,84018179,1,16.03.20
114,84036107,1,16.03.20
115,84036109,1,16.03.20
116,84037133,1,16.03.20
117,84017167,1,16.03.20
118,84055059,1,16.03.20
119,84013077,1,16.03.20
120,84053013,1,16.03.20
121,84053015,1,16.03.20
122,84012057,1,16.03.20
123,84053025,1,16.03.20
124,84053027,1,16.03.20
125,84053031,1,16.03.20
126,84017197,1,16.03.20
127,84053037,1,16.03.20
128,84055087,1,16.03.20
